season,mfl_id,gsis_id,display_name,last_name,pos,points,war,rank,award,label,headshot,category,pctl,group,category_f,award_f,subline
2021,15284,00-0036613,Jaylen Waddle,Waddle,WR,205.94,1.6,1,OROY,Offensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nlneyg7usy4pn9psbnru",war_total_pctl,0.5394736842105263,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2021,15254,00-0036893,Najee Harris,Harris,RB,215.6,1.58,2,OROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lj0qlwa2pvyrihyiriox",war_total_pctl,0.5328947368421053,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2021,15281,00-0036900,Ja'Marr Chase,Chase,WR,199.3,0.94,3,OROY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hwrzdfsng9bh4tba7uoe",war_total_pctl,0.3157894736842105,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2021,15350,00-0036932,Micah Parsons,Parsons,LB,176,0.72,1,DROY,Defensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nxqcqdpzez6j7c1r0o48",war_total_pctl,0.2565789473684211,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2021,15355,00-0036621,Nick Bolton,Bolton,LB,133,0.1,2,DROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hicuemxs3nah7mrexddl",war_total_pctl,0.039473684210526314,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2021,15351,00-0036915,Jeremiah Owusu-Koramoah,Owusu-Koramoah,LB,95,0,3,DROY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mw7hvtqvuq7ruiqnk7zk",war_total_pctl,0.019736842105263157,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2021,13131,00-0033897,Joe Mixon,Mixon,RB,226,1.74,1,CPOY,Comeback Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rd210pq6ch22vpoygtfn",war_total_pctl,0.5526315789473685,All award candidates 2016-2022,war_total_pctl,CPOY,"Highest WAR change to previous
season and ended season on IR"
2021,14167,00-0035642,Josh Allen,Allen,DL,131,0.62,2,CPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c1lvavhrved77o44fnol",war_total_pctl,0.20394736842105263,All award candidates 2016-2022,war_total_pctl,CPOY,"Highest WAR change to previous
season and ended season on IR"
2021,14926,00-0036362,Willie Gay,Gay,LB,66,-0.14,3,CPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/seaj34aw44jmekiyvspw",war_total_pctl,0,All award candidates 2016-2022,war_total_pctl,CPOY,"Highest WAR change to previous
season and ended season on IR"
2022,13699,00-0034743,Rashaan Evans,Evans,LB,227,3.04,1,MVP,Most Valuable Player,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hou79fqcetlephuywjnp",war_total_pctl,0.9671052631578947,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2022,13319,00-0033293,Aaron Jones,Jones,RB,202.5,2.7,2,MVP,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oo8yixhsahh4gznox7th",war_total_pctl,0.9210526315789473,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2022,13404,00-0033699,Austin Ekeler,Ekeler,RB,270.3,2.56,3,MVP,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl0nhc7kyf4aumbyzs5b",war_total_pctl,0.875,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2022,13319,00-0033293,Aaron Jones,Jones,RB,202.5,2.7,1,OPOY,Offensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oo8yixhsahh4gznox7th",war_total_pctl,0.9210526315789473,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2022,13404,00-0033699,Austin Ekeler,Ekeler,RB,270.3,2.56,2,OPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl0nhc7kyf4aumbyzs5b",war_total_pctl,0.875,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2022,14073,00-0035700,Josh Jacobs,Jacobs,RB,264.4,2.48,3,OPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sagoqkubeaz5yht01ow7",war_total_pctl,0.8486842105263158,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2022,14218,00-0035687,Bobby Okereke,Okereke,LB,191,2.06,1,DPOY,Defensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/msyqrxwcksmkkjkfanim",war_total_pctl,0.7302631578947368,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
2022,14892,00-0036409,Jordyn Brooks,Brooks,LB,237,1.92,2,DPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dqpczddxon4ctkw29i8i",war_total_pctl,0.6578947368421053,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
2022,13813,00-0034413,Foyesade Oluokun,Oluokun,LB,232,1.84,3,DPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hj8mjgfypf8bpggmo7w6",war_total_pctl,0.618421052631579,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
