"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Cologne Thunderkittens",15379,"Tryon, Joe",-4.313,"DL",-4.3264,146
"Cologne Thunderkittens",15349,"Phillips, Jaelan",-1.813,"DL",-1.814,66
"Cologne Thunderkittens",14162,"Wilkins, Christian",1.943,"DL",1.9471,15
"Cologne Thunderkittens",14882,"Greenard, Jonathan",1.335,"DL",1.356,21
"Cologne Thunderkittens",14153,"Allen, Zach",-0.724,"DL",-0.7209,47
"Cologne Thunderkittens",11723,"Van Noy, Kyle",0.867,"LB",0.894,26
"Cologne Thunderkittens",14148,"Sweat, Montez",-1.938,"DL",-1.939,69
"Cologne Thunderkittens",13810,"Joseph-Day, Sebastian",2.491,"DL",2.4685,10
"Cologne Thunderkittens",15404,"Jones, Ernest",-2,"LB",-2.0113,71
"Cologne Thunderkittens",15428,"Sherwood, Jamien",-5.4,"LB",-5.4031,187
"Cologne Thunderkittens",10267,"Miller, Von",-2.043,"LB",-2.0445,72
"Deevillage Moonwalkers",10775,"Wagner, Bobby",8.35,"LB",3.4684,1
"Deevillage Moonwalkers",14168,"White, Devin",4.912,"LB",3.4684,1
"Deevillage Moonwalkers",9833,"Pierre-Paul, Jason",-1.938,"DL",-1.939,69
"Deevillage Moonwalkers",13813,"Oluokun, Foyesade",9.912,"LB",3.4684,1
"Deevillage Moonwalkers",12239,"Kendricks, Eric",7.038,"LB",3.4684,1
"Deevillage Moonwalkers",15082,"Barnes, Krys",0,"LB",-0.0167,37
"Deevillage Moonwalkers",15409,"Barnes, Derrick",-3.025,"LB",-3.0223,109
"Deevillage Moonwalkers",14221,"Williams, Quincy",3.467,"LB",3.4684,1
"Deevillage Moonwalkers",12831,"Roberts, Elandon",-0.275,"LB",-0.2393,40
"Deevillage Moonwalkers",14162,"Wilkins, Christian",1.943,"DL",1.9471,15
"Deevillage Moonwalkers",11772,"Kirksey, Christian",3.933,"LB",3.4684,1
"Deevillage Moonwalkers",14148,"Sweat, Montez",-1.938,"DL",-1.939,69
"Deevillage Moonwalkers",15543,"Griffith, Jonas",-4.4,"LB",-4.407,148
"Deevillage Moonwalkers",11706,"Clowney, Jadeveon",-0.861,"DL",-0.8498,49
"Deevillage Moonwalkers",14891,"Harrison, Malik",-7.169,"LB",-6.5081,252
"Deevillage Moonwalkers",15376,"Turner, Payton",-2.938,"DL",-2.9389,106
"Deevillage Moonwalkers",15386,"Odeyingbo, Dayo",-6.16,"DL",-6.1674,228
"Las Vegas Saints",11757,"Donald, Aaron",3.374,"DL",3.3537,2
"Las Vegas Saints",13198,"Garrett, Myles",2.062,"DL",2.0493,14
"Las Vegas Saints",12779,"Campbell, De'Vondre",8.162,"LB",3.4684,1
"Las Vegas Saints",10768,"David, Lavonte",4.677,"LB",3.4684,1
"Las Vegas Saints",13245,"Reddick, Haason",2.395,"DL",2.3622,11
"Las Vegas Saints",14892,"Brooks, Jordyn",7.662,"LB",3.4684,1
"Las Vegas Saints",13727,"Vander Esch, Leighton",-1.775,"LB",-1.7672,65
"Las Vegas Saints",14167,"Allen, Josh",2.062,"DL",2.0493,14
"Las Vegas Saints",14235,"Tranquill, Drue",-0.477,"LB",-0.4519,43
"Las Vegas Saints",15355,"Bolton, Nick",2.467,"LB",2.4685,10
"Las Vegas Saints",15385,"Ojulari, Azeez",-0.876,"DL",-0.8498,49
"Las Vegas Saints",13306,"Walker, Anthony",5.6,"LB",3.4684,1
"Las Vegas Saints",12233,"Alexander, Kwon",0.236,"LB",0.2166,34
"Las Vegas Saints",13688,"Davenport, Marcus",1.862,"DL",1.8459,16
"Las Vegas Saints",10272,"Watt, J.J.",-2.652,"DL",-2.6516,96
"Las Vegas Saints",14161,"Tillery, Jerry",-1.938,"DL",-1.939,69
"Wichita´s Hall of Fame Squad",12745,"Jones, Deion",6.4,"LB",3.4684,1
"Wichita´s Hall of Fame Squad",13733,"Leonard, Darius",7.333,"LB",3.4684,1
"Wichita´s Hall of Fame Squad",13696,"Smith, Roquan",7.975,"LB",3.4684,1
"Wichita´s Hall of Fame Squad",13198,"Garrett, Myles",2.062,"DL",2.0493,14
"Wichita´s Hall of Fame Squad",14147,"Bosa, Nick",2,"DL",2.0493,14
"Wichita´s Hall of Fame Squad",14882,"Greenard, Jonathan",1.335,"DL",1.356,21
"Wichita´s Hall of Fame Squad",10272,"Watt, J.J.",-2.652,"DL",-2.6516,96
"Nordic Wolves",10775,"Wagner, Bobby",8.35,"LB",3.4684,1
"Nordic Wolves",12287,"Hicks, Jordan",4.662,"LB",3.4684,1
"Nordic Wolves",13733,"Leonard, Darius",7.333,"LB",3.4684,1
"Nordic Wolves",13743,"Warner, Fred",5.467,"LB",3.4684,1
"Nordic Wolves",14171,"Burns, Brian",0.25,"DL",0.2166,34
"Nordic Wolves",13684,"Hubbard, Sam",0.812,"DL",0.8051,27
"Nordic Wolves",13307,"Milano, Matt",1.333,"LB",1.356,21
"Nordic Wolves",11728,"Mosley, C.J.",8.267,"LB",3.4684,1
"Nordic Wolves",13204,"Harris, Charles",0.25,"DL",0.2166,34
"Nordic Wolves",13304,"Brown, Jayon",0.4,"LB",0.3785,32
"Nordic Wolves",11769,"Lawrence, Demarcus",2.395,"DL",2.3622,11
"Nordic Wolves",13987,"Spillane, Robert",-4.708,"LB",-4.6952,156
"Nordic Wolves",13268,"Anzalone, Alex",1.243,"LB",1.2614,22
"Hintertupfingen Griffins",12688,"Buckner, DeForest",0.562,"DL",0.5455,30
"Hintertupfingen Griffins",12233,"Alexander, Kwon",0.236,"LB",0.2166,34
"Hintertupfingen Griffins",14218,"Okereke, Bobby",5.162,"LB",3.4684,1
"Hintertupfingen Griffins",14171,"Burns, Brian",0.25,"DL",0.2166,34
"Hintertupfingen Griffins",14247,"Greenlaw, Dre",3.6,"LB",3.4684,1
"Hintertupfingen Griffins",14225,"Crosby, Maxx",-1,"DL",-0.9751,51
"Hintertupfingen Griffins",11772,"Kirksey, Christian",3.933,"LB",3.4684,1
"Hintertupfingen Griffins",13762,"White, Kyzir",6.162,"LB",3.4684,1
"Hintertupfingen Griffins",14672,"Reeder, Troy",-0.15,"LB",-0.1663,39
"Hintertupfingen Griffins",15431,"Fields, Tony",-9.4,"LB",-6.5081,252
"Hintertupfingen Griffins",15348,"Basham, Carlos",-3.224,"DL",-3.2197,116
"Hintertupfingen Griffins",15410,"Cox, Jabril",-9.114,"LB",-6.5081,252
"Dresden Jaguars",11721,"Mack, Khalil",0.776,"DL",0.8051,27
"Dresden Jaguars",13706,"Baker, Jerome",2.6,"LB",2.5758,9
"Dresden Jaguars",13208,"Allen, Jonathan",-0.25,"DL",-0.2393,40
"Dresden Jaguars",14218,"Okereke, Bobby",5.162,"LB",3.4684,1
"Dresden Jaguars",14948,"Walker, Mykal",-5.838,"LB",-5.844,209
"Dresden Jaguars",14923,"Taylor, Darrell",-2.538,"DL",-2.5361,92
"Dresden Jaguars",14249,"Van Ginkel, Andrew",-0.188,"DL",-0.1663,39
"Dresden Jaguars",15350,"Parsons, Micah",4.038,"LB",3.4684,1
"Dresden Jaguars",13700,"Landry, Harold",2.624,"DL",2.5758,9
"Dresden Jaguars",13306,"Walker, Anthony",5.6,"LB",3.4684,1
