"season","week","player_id","player_name","team","points","is_available","ppg","true_position","mfl_position","vbd_mfl","vbd_true"
2017,"YTD",13417,"Lewis, LaTroy","HOU",10,"1",5,"LB","LB",-4.688,-6.385
2018,"YTD",12529,"Peters, Brian","HOU",10,"1",0.909,"LB","LB",-9.091,-8.403
2018,"YTD",11955,"Coyle, Brock","SFO",10,"1",10,"LB","LB",0,0.688000000000001
2018,"YTD",9729,"Humber, Ramon","NEP",10,"1",0.667,"LB","LB",-9.333,-8.645
2019,"YTD",10353,"Acho, Sam","TBB",10,"1",1.25,"LB","LB",-8.625,-7.938
2020,"YTD",12230,"Beasley, Vic","LVR",10,"1",1,"LB","LB",-10.385,-8.067
2020,"YTD",14309,"Brailford, Jordan","MIN",10,"1",2,"LB","LB",-9.385,-7.067
2021,"YTD",13537,"Bower, Tashawn","MIN",10,"1",1.667,"LB","LB",-8.6,-7.733
2021,"YTD",14279,"Gilbert, Ulysees","PIT",10,"1",0.625,"LB","LB",-9.642,-8.775
2021,"YTD",12854,"Walker, Joe","ARI",10,"1",0.909,"LB","LB",-9.358,-8.491
2017,"YTD",9978,"Moats, Arthur","PIT",9,"1",0.643,"LB","LB",-9.045,-10.742
2017,"YTD",13318,"Donahue, Dylan","NYJ",9,"1",2.25,"LB","LB",-7.438,-9.135
2019,"YTD",14660,"Tauaefa, Josiah","NYG",9,"1",0.75,"LB","LB",-9.125,-8.438
2020,"YTD",14678,"Skipper, Tuzar","TEN",9,"1",2.25,"LB","LB",-9.135,-6.817
2020,"YTD",10315,"Reed, Brooks","TEN",9,"1",4.5,"LB","LB",-6.885,-4.567
2021,"YTD",15561,"Jones, Jamir","JAC",9,"1",0.692,"LB","LB",-9.575,-8.708
2021,"YTD",13310,"Lee, Marquel","LVR",9,"1",0.818,"LB","LB",-9.449,-8.582
2021,"YTD",14216,"Ferguson, Jaylon","BAL",9,"1",1,"LB","LB",-9.267,-8.4
2021,"YTD",14307,"Allen, Dakota","JAC",9,"1",0.692,"LB","LB",-9.575,-8.708
2017,"YTD",11869,"Reilly, Trevor","NEP",8,"1",1.6,"LB","LB",-8.088,-9.785
2018,"YTD",13320,"Eligwe, Ukeme","NYG",8,"1",0.8,"LB","LB",-9.2,-8.512
2018,"YTD",11710,"Easley, Dominique","LAR",8,"1",2.667,"LB","LB",-7.333,-6.645
2019,"YTD",14255,"Smith, Cameron","MIN",8,"1",1.6,"LB","LB",-8.275,-7.588
2019,"YTD",11292,"Te'o, Manti","NOS",8,"1",2.667,"LB","LB",-7.208,-6.521
2019,"YTD",12329,"Alexander, D.J.","JAC",8,"1",1.6,"LB","LB",-8.275,-7.588
2017,"YTD",12547,"Anderson, Jonathan","CHI",7,"1",0.583,"LB","LB",-9.105,-10.802
