"player_id","player_name","starter","points","ppg_avg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
9826,"Graham, Brandon",0,4,6.5516,-4.562,-4.562,-5.938,-5.938,"DL","DL",6,6
12544,"Everett, Deshazor",0,4,3.1424,-10.214,-10.214,-10.214,-10.214,"DB","DB",6,6
12719,"Thompson, Darian",0,4,4.104,-9.7,-9.7,-9.7,-9.7,"DB","DB",6,6
12790,"Robinson, Rashard",0,4,3.95875,-9.929,-9.929,-9.929,-9.929,"DB","DB",6,6
13397,"Nacua, Kai",0,4,1.16666666666667,-8.5,-8.5,-8.5,-8.5,"DB","DB",6,6
13444,"Munson, Calvin",0,4,3.57075,-9.823,-9.823,-8.956,-8.956,"LB","LB",6,6
13691,"Hurst, Maurice",0,4,3.99025,-4.562,-4.562,-5.938,-5.938,"DL","DL",6,6
13708,"Jackson, Josh",0,4,3.405,-8.5,-8.5,-8.5,-8.5,"DB","DB",6,6
13930,"Turner, Zeke",0,4,0.37275,-9.467,-9.467,-8.6,-8.6,"LB","LB",6,6
14012,"Ford, Mike",0,4,2.55825,-10.167,-10.167,-10.167,-10.167,"DB","DB",6,6
14238,"Cominsky, John",0,4,2.25633333333333,-5.562,-5.562,-6.938,-6.938,"DL","DL",6,6
14251,"Cashman, Blake",0,4,3.968,-8.934,-8.934,-8.067,-8.067,"LB","LB",6,6
14252,"Jackson, Michael",0,4,2,-6.5,-6.5,-6.5,-6.5,"DB","DB",6,6
14535,"Bledsoe, Amani",0,4,1.3645,-5.762,-5.762,-7.138,-7.138,"DL","DL",6,6
14627,"Bryant, Brandin",0,4,1.66666666666667,-5.229,-5.229,-6.605,-6.605,"DL","DL",6,6
14713,"Jackson, Robert",0,4,0.844333333333333,-9.167,-9.167,-9.167,-9.167,"DB","DB",6,6
14886,"Anae, Bradlee",0,4,0.5,-5.562,-5.562,-6.938,-6.938,"DL","DL",6,6
14942,"Burgess, Terrell",0,4,0.919,-10.233,-10.233,-10.233,-10.233,"DB","DB",6,6
15002,"Coughlin, Carter",0,4,1.321,-9.696,-9.696,-8.829,-8.829,"LB","LB",6,6
15101,"Akinmoladun, Freedom",0,4,2.75,-2.562,-2.562,-3.938,-3.938,"DL","DL",6,6
15151,"Welch, Kristian",0,4,0.1335,-10,-10,-9.133,-9.133,"LB","LB",6,6
15246,"Book, Ian",0,4,4,-12.289,-12.289,-12.289,-12.289,"QB","QB",6,6
15367,"Nasirildeen, Hamsah",0,4,0.364,-9.903,-9.903,-9.036,-9.036,"LB","LB",6,6
15442,"LeCounte, Richard",0,4,0.444,-10.056,-10.056,-10.056,-10.056,"DB","DB",6,6
15451,"Jean-Charles, Shemar",0,4,0.308,-10.192,-10.192,-10.192,-10.192,"DB","DB",6,6
15458,"Tuipulotu, Marlon",0,4,0.8,-5.762,-5.762,-7.138,-7.138,"DL","DL",6,6
15486,"Webb, Mark",0,4,0.571,-9.929,-9.929,-9.929,-9.929,"DB","DB",6,6
15560,"Moa, David",0,4,0.8,-5.762,-5.762,-7.138,-7.138,"DL","DL",6,6
15573,"Kamara, Azur",0,4,0.444,-9.823,-9.823,-8.956,-8.956,"LB","LB",6,6
15592,"Rivers, Chauncey",0,4,2,-8.267,-8.267,-7.4,-7.4,"LB","LB",6,6
15594,"Faoliu, Austin",0,4,4,-2.562,-2.562,-3.938,-3.938,"DL","DL",6,6
15653,"Smith, T.J.",0,4,4,-2.562,-2.562,-3.938,-3.938,"DL","DL",6,6
13529,"Natson, JoJo",0,3.96,1.432,-8.874,-8.874,-8.874,-8.874,"WR","WR",6,6
15650,"Prentice, Adam",0,3.8,0.633,-8.373,-8.373,-8.373,-8.373,"RB","RB",6,6
14110,"Sills, David",0,3.7,1.233,-8.961,-8.961,-8.961,-8.961,"WR","WR",6,6
15511,"Naggar, Chris",0,3.7,3.7,-5.117,-5.117,-5.117,-5.117,"PK","PK",4,4
13369,"Carter, Cethan",0,3.6,0.38675,-13.442,-13.442,-13.442,-13.442,"TE","TE",6,6
14435,"Bonnafon, Reggie",0,3.6,3.863,-7.806,-7.806,-7.806,-7.806,"RB","RB",6,6
14817,"Taylor, Patrick",0,3.6,0.45,-8.556,-8.556,-8.556,-8.556,"RB","RB",6,6
15274,"Ragas, Trey",0,3.5,3.5,-5.506,-5.506,-5.506,-5.506,"RB","RB",6,6
12391,"Williams, Tyrell",0,3.4,7.72725,-6.794,-6.794,-6.794,-6.794,"WR","WR",6,6
15291,"Newsome, Dazz",0,3.4,1.7,-8.494,-8.494,-8.494,-8.494,"WR","WR",6,6
10940,"Carrier, Derek",0,3.3,1.0806,-12.857,-12.857,-12.857,-12.857,"TE","TE",6,6
9073,"Henne, Chad",0,3.28,2.48425,-15.469,-15.469,-15.469,-15.469,"QB","QB",6,6
14121,"Isabella, Andy",0,3.23,2.43966666666667,-9.733,-9.733,-9.733,-9.733,"WR","WR",6,6
10354,"Stocker, Luke",0,3.2,1.1622,-13.391,-13.391,-13.391,-13.391,"TE","TE",6,6
15480,"Funk, Jake",0,3.14,0.349,-8.657,-8.657,-8.657,-8.657,"RB","RB",6,6
14806,"Perine, Lamical",0,3.1,3.0455,-8.231,-8.231,-8.231,-8.231,"RB","RB",6,6
11725,"Attaochu, Jeremiah",0,3,3.0968,-9.667,-9.667,-8.8,-8.8,"LB","LB",6,6
12775,"Smith, Ryan",0,3,3.109,-9.75,-9.75,-9.75,-9.75,"DB","DB",6,6
13264,"Jones, Josh",0,3,5.6842,-10.167,-10.167,-10.167,-10.167,"DB","DB",6,6
13328,"Taylor, Vincent",0,3,3.3744,-5.062,-5.062,-6.438,-6.438,"DL","DL",6,6
13365,"O'Connor, Pat",0,3,0.35475,-6.331,-6.331,-7.707,-7.707,"DL","DL",6,6
13392,"Adams, Tyrell",0,3,4.61,-9.838,-9.838,-8.971,-8.971,"LB","LB",6,6
13758,"Iyiegbuniwe, Joel",0,3,0.2625,-9.967,-9.967,-9.1,-9.1,"LB","LB",6,6
13836,"Smith, Andre",0,3,0.50125,-10.053,-10.053,-9.186,-9.186,"LB","LB",6,6
13838,"Bawden, Nick",0,3,0.4995,-8.577,-8.577,-8.577,-8.577,"RB","RB",6,6
14204,"Banogu, Ben",0,3,1.02066666666667,-6.229,-6.229,-7.605,-7.605,"DL","DL",6,6
14275,"Egbule, Emeke",0,3,0.47,-9.267,-9.267,-6.938,-6.938,"DL","LB",6,6
14421,"Harris, Trent",0,3,2.341,-5.812,-5.812,-7.188,-7.188,"DL","DL",6,6
14494,"Dowell, Andrew",0,3,0.2,-10.067,-10.067,-9.2,-9.2,"LB","LB",6,6
14519,"Kunaszyk, Jordan",0,3,0.257666666666667,-9.994,-9.994,-9.127,-9.127,"LB","LB",6,6
15466,"Marshall, Jonathan",0,3,0.75,-5.812,-5.812,-7.188,-7.188,"DL","DL",6,6
15538,"Rhattigan, Jon",0,3,0.214,-10.053,-10.053,-9.186,-9.186,"LB","LB",6,6
14263,"Ballentine, Corey",0,2.82,2.425,-9.795,-9.795,-9.795,-9.795,"DB","DB",6,6
14363,"Rader, Kevin",0,2.8,0.28,-13.122,-13.122,-13.122,-13.122,"TE","TE",6,6
14640,"Wolf, Ethan",0,2.8,2.8,-10.882,-10.882,-10.882,-10.882,"TE","TE",6,6
14553,"Davis, Davion",0,2.7,0.675,-8.844,-8.844,-8.844,-8.844,"WR","WR",6,6
15635,"Koski, J.J.",0,2.67,0.534,-9.66,-9.66,-9.66,-9.66,"WR","WR",6,6
15671,"Bandy, Michael",0,2.64,2.64,-7.554,-7.554,-7.554,-7.554,"WR","WR",6,6
12921,"Lewis, Tommylee",0,2.59,2.2075,-8.899,-8.899,-8.899,-8.899,"WR","WR",6,6
15304,"Darby, Frank",0,2.4,0.24,-9.954,-9.954,-9.954,-9.954,"WR","WR",6,6
11177,"Barner, Kenjon",0,2.35,2.1048,-7.831,-7.831,-7.831,-7.831,"RB","RB",6,6
12443,"Kumerow, Jake",0,2.3,2.40175,-10.03,-10.03,-10.03,-10.03,"WR","WR",6,6
15046,"Merritt, Kirk",0,2.3,0.575,-9.044,-9.044,-9.044,-9.044,"WR","WR",6,6
13916,"Howell, Buddy",0,2.12,0.24775,-8.77,-8.77,-8.77,-8.77,"RB","RB",6,6
10262,"Gabbert, Blaine",0,2.08,5.701,-15.873,-15.873,-15.873,-15.873,"QB","QB",6,6
15060,"Streveler, Chris",0,2.04,1.38,-15.269,-15.269,-15.269,-15.269,"QB","QB",6,6
11742,"Joyner, Lamarcus",0,2,7.7708,-8.5,-8.5,-8.5,-8.5,"DB","DB",6,6
12002,"Westbrooks, Ethan",0,2,2.20866666666667,-4.562,-4.562,-5.938,-5.938,"DL","DL",6,6
12301,"Smith, Za'Darius",0,2,6.2744,-9.6,-9.6,-7.271,-7.271,"DL","LB",6,6
12417,"Lambo, Josh",0,2,6.4194,-8.15,-8.15,-8.15,-8.15,"PK","PK",4,4
12447,"Mostert, Raheem",0,2,5.9746,-7.006,-7.006,-7.006,-7.006,"RB","RB",6,6
12690,"Spence, Noah",0,2,1.765,-4.562,-4.562,-5.938,-5.938,"DL","DL",6,6
12850,"Fejedelem, Clayton",0,2,2.0784,-10.375,-10.375,-10.375,-10.375,"DB","DB",6,6
12957,"Crawley, Ken",0,2,4.385,-10.1,-10.1,-10.1,-10.1,"DB","DB",6,6
13013,"Hamilton, Woodrow",0,2,1.8,-4.562,-4.562,-5.938,-5.938,"DL","DL",6,6
13446,"Nickerson, Hardy",0,2,2.2924,-9.6,-9.6,-8.733,-8.733,"LB","LB",6,6
13505,"Hall, Marvin",0,2,3.289,-8.194,-8.194,-8.194,-8.194,"WR","WR",6,6
13559,"Malveaux, Cameron",0,2,2.79633333333333,-9.6,-9.6,-8.733,-8.733,"LB","LB",6,6
