"player_id"; "player_name"; "pos"; "points"; "war"
10879; "Trevathan, Danny"; "LB"; 27; -0.04
10932; "Bolden, Brandon"; "RB"; 70.82; 0.03
10973; "Beasley, Cole"; "WR"; 123.1; 0.24
10976; "Tucker, Justin"; "PK"; 121.8; 0.3
11150; "Smith, Geno"; "QB"; 23.14; -0.06
11192; "Bell, Le'Veon"; "RB"; 21.2; -0.05
11222; "Allen, Keenan"; "WR"; 204.9; 0.84
11225; "Patterson, Cordarrelle"; "WR"; 174.5; 0.42
11228; "Woods, Robert"; "WR"; 137.2; 0.27
11232; "Hopkins, DeAndre"; "WR"; 136.8; 0.27
11244; "Kelce, Travis"; "TE"; 190.2; 0.87
11247; "Ertz, Zach"; "TE"; 118.2; 0.35
11283; "Richardson, Sheldon"; "DL"; 49; -0.17
11293; "Ogletree, Alec"; "LB"; 99; 0.07
11299; "Bostic, Jon"; "LB"; 34; -0.02
11313; "Mathieu, Tyrann"; "DB"; 135; 0.23
11316; "Ryan, Logan"; "DB"; 149; 0.29
11317; "Poyer, Jordan"; "DB"; 153; 0.32
11349; "Collins, Jamie"; "LB"; 43; -0.07
11359; "Harmon, Duron"; "DB"; 80; -0.15
11367; "Juszczyk, Kyle"; "RB"; 33.2; -0.1
11382; "Hyde, Micah"; "DB"; 127.4; 0.2
11387; "Hopkins, Dustin"; "PK"; 9; 0.03
11390; "Murray, Latavius"; "RB"; 63.9; 0.01
11516; "Doyle, Jack"; "TE"; 76.1; -0.01
11640; "Bridgewater, Teddy"; "QB"; 190.6; 0.03
11644; "Carr, Derek"; "QB"; 213.22; 0.2
11647; "Thomas, Logan"; "TE"; 54.6; 0.07
11657; "Hyde, Carlos"; "RB"; 46; -0.15
11660; "Freeman, Devonta"; "RB"; 89.4; 0.12
11670; "Watkins, Sammy"; "WR"; 71.4; 0.02
11671; "Evans, Mike"; "WR"; 197.4; 0.78
11674; "Cooks, Brandin"; "WR"; 159.3; 0.5
11675; "Adams, Davante"; "WR"; 218.3; 0.72
11678; "Robinson, Allen"; "WR"; 69.9; 0.01
11679; "Beckham, Odell"; "WR"; 75.3; 0.03
11680; "Landry, Jarvis"; "WR"; 82; 0.08
11706; "Clowney, Jadeveon"; "DL"; 59; -0.04
11720; "Barr, Anthony"; "LB"; 63; 0
11721; "Mack, Khalil"; "LB"; 61; 0.02
11723; "Van Noy, Kyle"; "LB"; 125; 0.23
11728; "Mosley, C.J."; "LB"; 172; 0.45
11747; "White, James"; "RB"; 31.2; 0.05
11757; "Donald, Aaron"; "DL"; 117; 0.33
11760; "Garoppolo, Jimmy"; "QB"; 178.64; 0.04
11761; "McKinnon, Jerick"; "RB"; 21.9; -0.26
11764; "Fuller, Kyle"; "DB"; 68; -0.13
11769; "Lawrence, Demarcus"; "DL"; 19; 0.05
