"player_id" "player_name" "pos" "points" "war"
13382 "Seals-Jones, Ricky" "TE" 36.5 -0.09
13391 "Hollister, Jacob" "TE" 44.1 0.13
13403 "Koo, Younghoe" "PK" 11.3 0.07
13404 "Ekeler, Austin" "RB" 220.1 1
13424 "Hill, Taysom" "QB" 38.06 -0.44
13426 "Morrow, Nicholas" "LB" 105 0.12
13447 "Wilson, Eric" "LB" 14 -0.15
13452 "Edmunds, Trey" "RB" 24.3 -0.02
13466 "Burgess, James" "LB" 48 0.12
13470 "Moore, Kenny" "DB" 129 0.2
13488 "Pascal, Zach" "WR" 96.49 0.07
13531 "Whitehead, Jermaine" "DB" 7 -0.08
13564 "Ficken, Sam" "PK" 2.5 -0.04
13589 "Allen, Josh" "QB" 228.1 0.36
13590 "Mayfield, Baker" "QB" 173.04 -0.03
13592 "Darnold, Sam" "QB" 137.4 0.03
13593 "Jackson, Lamar" "QB" 311.68 0.95
13604 "Barkley, Saquon" "RB" 125 0.26
13605 "Guice, Derrius" "RB" 25.5 0.02
13606 "Jones, Ronald" "RB" 119.2 0.28
13607 "Michel, Sony" "RB" 111.4 0.23
13608 "Penny, Rashaad" "RB" 48.32 -0.03
13610 "Chubb, Nick" "RB" 203.1 0.87
13612 "Johnson, Kerryon" "RB" 69.4 0.1
13613 "Samuels, Jaylen" "RB" 81.7 0.07
13614 "Lindsay, Phillip" "RB" 146.7 0.47
13615 "Scarbrough, Bo" "RB" 8.8 0.02
13616 "Walton, Mark" "RB" 33.8 0.02
13617 "Freeman, Royce" "RB" 104.9 0.18
13620 "Jackson, Justin" "RB" 23.9 -0.02
13621 "Ballage, Kalen" "RB" 51.8 -0.18
13622 "Hines, Nyheim" "RB" 78.4 0
13623 "Williams, Darrel" "RB" 60.2 -0.02
13629 "Ridley, Calvin" "WR" 161.3 0.52
13630 "Sutton, Courtland" "WR" 160.42 0.52
13631 "Washington, James" "WR" 83.7 0.02
13633 "Kirk, Christian" "WR" 123.35 0.23
13634 "Pettis, Dante" "WR" 34.54 -0.22
13635 "Moore, D.J." "WR" 179.1 0.65
13636 "Cain, Deon" "WR" 13.7 -0.18
13639 "Miller, Anthony" "WR" 62.8 -0.17
13642 "Tate, Auden" "WR" 89.3 0.05
13646 "Gallup, Michael" "WR" 137.3 0.28
13649 "Hamilton, DaeSean" "WR" 21.6 -0.44
13662 "Coutee, Keke" "WR" 41.3 -0.05
13668 "Chark, D.J." "WR" 191.4 0.74
13671 "Andrews, Mark" "TE" 149.3 0.55
13672 "Gesicki, Mike" "TE" 68.2 -0.02
13674 "Goedert, Dallas" "TE" 82.38 0.09
13680 "Hurst, Hayden" "TE" 45.2 -0.18
13681 "Chubb, Bradley" "LB" 46 0.06
13684 "Hubbard, Sam" "DL" 114 0.29
13688 "Davenport, Marcus" "DL" 55 -0.13
13696 "Smith, Roquan" "LB" 144 0.33
13697 "Edmunds, Tremaine" "LB" 148 0.42
13699 "Evans, Rashaan" "LB" 155 0.47
13700 "Landry, Harold" "LB" 134 0.32
13702 "Jewell, Josey" "LB" 49 -0.15
13703 "Carter, Lorenzo" "LB" 80 0
13706 "Baker, Jerome" "LB" 141 0.37
13707 "Ward, Denzel" "DB" 62 0
13713 "Fitzpatrick, Minkah" "DB" 149 0.35
13715 "Harrison, Ronnie" "DB" 115 0.11
13716 "Edmunds, Terrell" "DB" 121 0.15
13717 "Reid, Justin" "DB" 99 0.05
13718 "Carlson, Daniel" "PK" 8.3 -0.02
13719 "Pineiro, Eddy" "PK" 3 -0.04
13722 "Jarwin, Blake" "TE" 63.2 -0.06
13723 "Payne, Da'Ron" "DL" 73 0.03
13726 "Edmonds, Chase" "RB" 82 0.09
13727 "Vander Esch, Leighton" "LB" 126 0.23
13730 "Alexander, Jaire" "DB" 102 0.02
13733 "Leonard, Darius" "LB" 154 0.35
13737 "Bates, Jessie" "DB" 159 0.42
13738 "Jackson, Donte" "DB" 84 0.05
13741 "Thomas, Chad" "DL" 10 0.04
13742 "Hill, B.J." "DL" 10 -0.02
13743 "Warner, Fred" "LB" 173 0.6
13747 "Walker, Tracy" "DB" 106 0.16
13753 "Akins, Jordan" "TE" 64.9 -0.05
13760 "Whitehead, Jordan" "DB" 101 0.06
13762 "White, Kyzir" "LB" 50 -0.25
13763 "Dissly, Will" "TE" 73.9 0.13
13765 "Young, Kenny" "LB" 27 -0.18
13768 "Smith, Ito" "RB" 38.07 -0.04
13775 "Bentley, Ja'Whaun" "LB" 44 -0.29
13781 "Avery, Genard" "LB" 7 -0.12
13789 "Wilkins, Jordan" "RB" 23.2 -0.24
13793 "Valdes-Scantling, Marquez" "WR" 78.6 -0.06
13813 "Oluokun, Foyesade" "LB" 47 -0.27
13814 "Scott, Boston" "RB" 21.2 -0.08
13850 "Edwards, Gus" "RB" 63.4 -0.1
13879 "Allen, Kyle" "QB" 128.16 -0.07
13909 "Maher, Brett" "PK" 61.25 0.06
13913 "Niemann, Ben" "LB" 32 -0.06
13920 "Ward, Charvarius" "DB" 42 -0.01
13933 "Ford, Poona" "DL" 30 -0.09
13938 "Greene, Raven" "DB" 2 -0.09
13980 "Badgley, Mike" "PK" 15.4 0.03
13988 "Dwelley, Ross" "TE" 22.8 0.02
14017 "Wilson, Jeffery" "RB" 45.2 -0.05
14056 "Murray, Kyler" "QB" 224.92 0.34
14059 "Jones, Daniel" "QB" 174.86 0.07
14067 "Minshew, Gardner" "QB" 139.3 0.04
14068 "Finley, Ryan" "QB" 29.66 -0.09
14071 "Montgomery, David" "RB" 118 0.27
14073 "Jacobs, Josh" "RB" 169.3 0.63
14075 "Harris, Damien" "RB" 1.2 -0.09
14079 "Sanders, Miles" "RB" 126.82 0.33
14080 "Singletary, Devin" "RB" 96.3 0.15
