"player_id" "player_name" "pos" "points" "war"
12386 "Brown, Malcolm" "RB" 21.8 -0.07
12391 "Williams, Tyrell" "WR" 82 0.04
12417 "Lambo, Josh" "PK" 44.7 0.01
12419 "Hull, Mike" "LB" 34 -0.08
12444 "Smith, Rod" "RB" 21.4 -0.02
12471 "Roberts, Seth" "WR" 54.2 -0.08
12505 "Humphries, Adam" "WR" 76.05 0
12536 "Irving, David" "DL" 51 0.05
12610 "Wentz, Carson" "QB" 244.58 0.6
12611 "Goff, Jared" "QB" 195.86 0.23
12616 "Brissett, Jacoby" "QB" 157.72 -0.05
12620 "Prescott, Dak" "QB" 199.42 0.26
12625 "Elliott, Ezekiel" "RB" 171.3 0.48
12626 "Henry, Derrick" "RB" 82.5 0.07
12627 "Prosise, C.J." "RB" 17 -0.06
12628 "Collins, Alex" "RB" 88.7 0.12
12629 "Booker, Devontae" "RB" 69.41 0.07
12630 "Drake, Kenyan" "RB" 60.31 -0.09
12631 "Perkins, Paul" "RB" 16.6 -0.11
12634 "Howard, Jordan" "RB" 138.8 0.49
12636 "Smallwood, Wendell" "RB" 43.49 -0.01
12646 "Coleman, Corey" "WR" 27.6 0.04
12647 "Fuller, Will" "WR" 98.45 0.22
12648 "Doctson, Josh" "WR" 77.8 0.01
12649 "Lewis, Roger" "WR" 23.5 -0.07
12652 "Thomas, Michael" "WR" 162.5 0.64
12655 "Carroo, Leonte" "WR" 13.9 -0.08
12658 "Shepard, Sterling" "WR" 92.8 0.17
12676 "Henry, Hunter" "TE" 91 0.17
12677 "Hooper, Austin" "TE" 95.7 0.21
12686 "Bosa, Joey" "DL" 135 0.49
12687 "Lawson, Shaq" "DL" 66 0.02
12688 "Buckner, DeForest" "DL" 96 0.2
12690 "Spence, Noah" "DL" 21 -0.06
12691 "Ogbah, Emmanuel" "DL" 85 0.12
12695 "Zettel, Anthony" "DL" 78 0.08
12697 "Robinson, A'Shawn" "DL" 27 0.01
12701 "Smith, Jaylon" "LB" 120 0.23
12702 "Jack, Myles" "LB" 144 0.4
12703 "Ragland, Reggie" "LB" 52 -0.05
12705 "Lee, Darron" "LB" 149 0.44
12711 "Ramsey, Jalen" "DB" 114 0.11
12712 "Hargreaves, Vernon" "DB" 89 0.03
12715 "Apple, Eli" "DB" 96 0.07
